127.0.0.1 - - [09/Sep/2023:20:27:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Sep/2023:20:27:50 +0530] "GET /Sep06_Servlets/index.html HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [09/Sep/2023:20:27:59 +0530] "GET /Sep06_Servlets/message.html HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [09/Sep/2023:20:28:17 +0530] "GET /Sep06_Servlets/ping.pong?name=nanditha&msg=i+love+ismail HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:20:29:42 +0530] "GET /Sep06_Servlets/ping.pong?name=ismail&msg=i+hate+to+hate+nanditha HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:20:35:03 +0530] "GET /Sep06_Servlets/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:20:35:12 +0530] "GET /Sep06_Servlets/ping.pong?name=ismail&msg=hi HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:20:38:59 +0530] "GET /Sep06_Servlets/ping.pong?name=kk&msg=kll HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:20:39:23 +0530] "GET /Sep06_Servlets/ping.pong?name=kk&msg=kll HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:20:43:19 +0530] "GET /Sep06_Servlets/ping.pong?name=kk&msg=kll HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [09/Sep/2023:20:45:55 +0530] "GET /Sep06_Servlets/ping.pong?name=kk&msg=kll HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [09/Sep/2023:20:45:57 +0530] "GET /Sep06_Servlets/ping.pong?name=kk&msg=kll HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [09/Sep/2023:20:46:04 +0530] "GET /Sep06_Servlets/ping.pong?name=kk&msg=kll HTTP/1.1" 200 168
